id,fake,real
TEST_00069,3.4417628712126895e-17,1.0
TEST_00070,4.942814620110545e-22,1.0
TEST_00071,4.399671896180119e-21,1.0
TEST_00072,9.925745278497603e-22,1.0
TEST_00073,2.7728672233241164e-23,1.0
TEST_00074,4.150086781841012e-24,1.0
TEST_00075,1.1953561334070954e-22,1.0
TEST_00076,4.1407060869919275e-18,1.0
TEST_00077,1.7788623628582287e-14,1.0
TEST_00078,8.755925159555512e-16,1.0
TEST_00079,5.477538731128171e-17,1.0
TEST_00080,2.5655364453947083e-18,1.0
TEST_00081,1.0696110770569834e-15,1.0
TEST_00082,3.3278339953921376e-27,1.0
TEST_00083,7.698532903339586e-17,1.0
TEST_00084,2.2076869868250296e-17,1.0
TEST_00085,7.758556950337316e-25,1.0
TEST_00086,2.1560454725260786e-16,1.0
TEST_00087,5.602071037045825e-16,1.0
TEST_00088,0.0,0.0
TEST_00089,1.5538363644093797e-23,1.0
TEST_00090,3.0994552468106063e-21,1.0
TEST_00091,0.0,0.0
TEST_00092,1.213103407550262e-19,1.0
TEST_00093,8.618229556649898e-14,1.0
TEST_00094,6.016859060869593e-26,1.0
TEST_00095,8.691659843405042e-17,1.0
TEST_00096,5.69467895861865e-23,1.0
TEST_00097,0.0,0.0
TEST_00098,1.219802238662298e-22,1.0
TEST_00099,7.686640982622248e-19,1.0
TEST_00100,1.3212687594660923e-20,1.0
TEST_00101,7.305544140264407e-20,1.0
TEST_00102,5.636799287369498e-23,1.0
TEST_00103,6.257473962913645e-26,1.0
TEST_00104,9.536925105690317e-18,1.0
TEST_00105,6.130396371524506e-22,1.0
TEST_00106,4.837104465073034e-16,1.0
TEST_00107,4.091442862146882e-22,1.0
TEST_00108,0.0,0.0
TEST_00109,1.147591173575815e-22,1.0
TEST_00110,3.300081330965192e-22,1.0
TEST_00111,3.62094960801785e-21,1.0
TEST_00112,1.9965238392537617e-20,1.0
TEST_00113,2.751954288486057e-20,1.0
TEST_00114,8.007428862000672e-19,1.0
TEST_00115,1.5754645314855944e-18,1.0
TEST_00116,4.8621732194110184e-23,1.0
TEST_00117,7.7695738859167935e-25,1.0
TEST_00118,3.0957242179615303e-19,1.0
TEST_00119,5.511193711723233e-19,1.0
TEST_00120,1.6488403031747756e-23,1.0
TEST_00121,4.172867845281112e-16,1.0
TEST_00122,9.2873353650291e-25,1.0
TEST_00123,3.4646943520629856e-26,1.0
TEST_00124,2.1574520766141128e-16,1.0
TEST_00125,1.1035343648700525e-23,1.0
TEST_00126,3.1340605599719e-24,1.0
TEST_00127,5.3052185013671694e-20,1.0
TEST_00128,1.6473717104886957e-20,1.0
TEST_00129,8.061698009025581e-22,1.0
TEST_00130,1.105217263194791e-12,1.0
TEST_00131,0.0,0.0
TEST_00132,0.0,0.0
TEST_00133,2.079639851931885e-19,1.0
TEST_00134,1.2033455197554919e-20,1.0
TEST_00135,1.4656371713668565e-22,1.0
TEST_00136,2.0367271176199175e-18,1.0
TEST_00137,3.706464250601921e-21,1.0
TEST_00138,2.5490614935681777e-13,1.0
TEST_00139,8.800098069603374e-22,1.0
TEST_00140,1.1888066788503704e-24,1.0
TEST_00141,1.203043211090998e-19,1.0
TEST_00142,2.4446156550094062e-20,1.0
TEST_00143,1.7273953534929776e-13,1.0
TEST_00144,1.6158688558434092e-24,1.0
TEST_00145,1.0476105361847377e-24,1.0
TEST_00146,1.7702694121316808e-17,1.0
TEST_00147,4.67042949070262e-17,1.0
TEST_00148,1.8628934575306736e-16,1.0
TEST_00149,1.8810317287513557e-23,1.0
TEST_00150,9.335987554511672e-20,1.0
TEST_00151,4.771963594787789e-18,1.0
TEST_00152,0.0,0.0
TEST_00153,1.1673945143897413e-10,1.0
TEST_00154,1.6901154608488064e-20,1.0
TEST_00155,1.4207896539280887e-20,1.0
TEST_00156,3.106262563588941e-20,1.0
TEST_00157,1.7325712933868183e-22,1.0
TEST_00158,3.3164217150048563e-16,1.0
TEST_00159,3.286350354940043e-22,1.0
TEST_00160,7.575318434173494e-21,1.0
TEST_00161,6.131457678985535e-19,1.0
TEST_00162,4.141209426394666e-19,1.0
TEST_00163,0.0,0.0
TEST_00164,0.0,0.0
TEST_00165,1.7157457027935745e-16,1.0
TEST_00166,1.6691247632581538e-21,1.0
TEST_00167,1.461810618424329e-17,1.0
TEST_00168,9.803537824825346e-19,1.0
TEST_00169,1.7707636470142953e-23,1.0
TEST_00170,1.494148334573416e-18,1.0
TEST_00171,1.9287581984813486e-21,1.0
TEST_00172,1.5335858632102494e-22,1.0
TEST_00173,3.377133425339074e-12,1.0
TEST_00174,1.141678122517037e-16,1.0
TEST_00175,1.2053124001557782e-19,1.0
TEST_00176,1.4893227696749347e-18,1.0
TEST_00177,2.7325327546176807e-17,1.0
TEST_00178,7.296912769066358e-19,1.0
TEST_00179,1.3133256011573294e-14,1.0
TEST_00180,7.323913327007038e-25,1.0
TEST_00181,9.003008376038736e-16,1.0
TEST_00182,1.709615856048832e-18,1.0
TEST_00183,8.361759997661501e-22,1.0
TEST_00184,1.788580326780734e-20,1.0
TEST_00185,4.71028164931644e-22,1.0
TEST_00186,1.5935578120203527e-15,1.0
TEST_00187,2.513401112541869e-18,1.0
TEST_00188,6.200710490402336e-25,1.0
TEST_00189,4.1615017219201434e-16,1.0
TEST_00190,2.3203524604133247e-18,1.0
TEST_00191,6.000230535630694e-22,1.0
TEST_00192,3.504617754450748e-23,1.0
TEST_00193,0.0,0.0
TEST_00194,3.2635651742326777e-21,1.0
TEST_00195,1.4283567172799879e-24,1.0
TEST_00196,6.802787479805085e-21,1.0
TEST_00197,3.3244359867184743e-18,1.0
TEST_00198,5.252546027904862e-25,1.0
TEST_00199,4.065410057844136e-24,1.0
TEST_00200,3.89579155258623e-24,1.0
TEST_00201,2.5742181760593082e-21,1.0
TEST_00202,6.044967415643049e-20,1.0
TEST_00203,1.847600844884484e-22,1.0
TEST_00204,6.171219102954352e-23,1.0
TEST_00205,1.4425456024703445e-30,1.0
TEST_00206,1.0770957778162777e-15,1.0
TEST_00207,4.3018960432641146e-17,1.0
TEST_00208,2.4963262435423964e-18,1.0
TEST_00209,7.437171581682381e-19,1.0
TEST_00210,6.576990081603667e-19,1.0
TEST_00211,6.93345568768806e-17,1.0
TEST_00212,1.3478318938373035e-13,1.0
TEST_00213,1.7738193786167594e-23,1.0
TEST_00214,5.365826195819986e-29,1.0
TEST_00215,1.6646160835918737e-14,1.0
TEST_00216,6.31529697422828e-24,1.0
TEST_00217,3.2148748392510295e-17,1.0
TEST_00218,0.0,0.0
TEST_00219,2.30970672004515e-14,1.0
TEST_00220,1.2284816989626551e-13,1.0
TEST_00221,1.5962291183672327e-22,1.0
TEST_00222,5.023122641168972e-15,1.0
TEST_00223,2.9283881972932097e-21,1.0
TEST_00224,0.0,0.0
TEST_00225,0.0,0.0
TEST_00226,2.5293459300399723e-20,1.0
TEST_00227,5.283097804988524e-15,1.0
TEST_00228,1.0846838759453459e-20,1.0
TEST_00229,2.484861148021136e-16,1.0
TEST_00230,3.708087070012593e-23,1.0
TEST_00231,5.958481722473448e-17,1.0
TEST_00232,2.8806991260308572e-15,1.0
TEST_00233,8.906268807798716e-24,1.0
TEST_00234,4.120670095576448e-22,1.0
TEST_00235,1.2814972855355605e-20,1.0
TEST_00236,6.942311038716473e-20,1.0
TEST_00237,5.988064268746965e-15,1.0
TEST_00238,7.203476010131382e-11,1.0
TEST_00239,5.18526729590675e-21,1.0
TEST_00240,2.670622330309697e-22,1.0
TEST_00241,1.1837967861884203e-17,1.0
TEST_00242,9.709505756384295e-23,1.0
TEST_00243,7.886752888642352e-17,1.0
TEST_00244,1.357246231485424e-23,1.0
TEST_00245,1.7075357553022025e-19,1.0
TEST_00246,2.0322013022959102e-19,1.0
TEST_00247,2.7733597840343686e-19,1.0
TEST_00248,1.3020094103886014e-14,1.0
TEST_00249,0.0,0.0
TEST_00250,2.5576130063841547e-17,1.0
TEST_00251,5.776521509174238e-18,1.0
TEST_00252,2.60185283437422e-20,1.0
TEST_00253,0.0,0.0
TEST_00254,3.251618665281778e-16,1.0
TEST_00255,0.0,0.0
TEST_00256,1.089079953160153e-18,1.0
TEST_00257,0.0,0.0
TEST_00258,2.6192014936940993e-19,1.0
TEST_00259,9.289778961276557e-14,1.0
TEST_00260,2.932340382249457e-17,1.0
TEST_00261,4.538124805497877e-19,1.0
TEST_00262,0.0,0.0
TEST_00263,2.1336444421562973e-15,1.0
TEST_00264,2.351817170143923e-19,1.0
TEST_00265,4.109093563271444e-26,1.0
TEST_00266,4.592157390176705e-21,1.0
TEST_00267,0.0,0.0
TEST_00268,1.8745457181751608e-19,1.0
TEST_00269,2.498186299770426e-16,1.0
TEST_00270,1.0081216540345715e-19,1.0
TEST_00271,2.8305012139543786e-17,1.0
TEST_00272,0.0,0.0
TEST_00273,1.1263606963362455e-15,1.0
TEST_00274,8.752542818030783e-18,1.0
TEST_00275,1.3238418243148864e-20,1.0
TEST_00276,2.191763819590388e-14,1.0
TEST_00277,7.480060077534449e-16,1.0
TEST_00278,1.2596727713082025e-19,1.0
TEST_00279,2.1141884460824458e-18,1.0
TEST_00280,7.427421810597371e-18,1.0
TEST_00281,1.641383970177104e-24,1.0
TEST_00282,5.0682375718066786e-23,1.0
TEST_00283,5.126666251512163e-17,1.0
TEST_00284,2.1122352593987064e-20,1.0
TEST_00285,7.160748500482473e-19,1.0
TEST_00286,3.2271520238017235e-23,1.0
TEST_00287,1.3342553335244615e-20,1.0
TEST_00288,1.860805650685851e-23,1.0
TEST_00289,0.0,0.0
TEST_00290,0.0,0.0
TEST_00291,1.4600450626274896e-23,1.0
TEST_00292,5.162800852870418e-23,1.0
TEST_00293,4.832762920774085e-19,1.0
TEST_00294,2.447977536738672e-18,1.0
TEST_00295,0.0,0.0
TEST_00296,2.7743069749463127e-30,1.0
TEST_00297,1.4590297612820177e-18,1.0
TEST_00298,2.485008758401446e-19,1.0
TEST_00299,1.72224706556123e-20,1.0
TEST_00300,1.008892175360104e-17,1.0
TEST_00301,0.0,0.0
TEST_00302,3.3369416175476837e-16,1.0
TEST_00303,4.3361939913493143e-19,1.0
TEST_00304,1.3272688228894289e-22,1.0
TEST_00305,2.4070731258681494e-20,1.0
TEST_00306,2.662789509500704e-22,1.0
TEST_00307,8.269807321128225e-20,1.0
TEST_00308,8.069483666342525e-14,1.0
TEST_00309,7.323331049051372e-24,1.0
TEST_00310,3.1926638403920925e-20,1.0
TEST_00311,3.846963446427596e-19,1.0
TEST_00312,1.8197814126263754e-23,1.0
TEST_00313,4.713828719721258e-12,1.0
TEST_00314,1.6596986080085538e-18,1.0
TEST_00315,3.0965646851626725e-18,1.0
TEST_00316,5.230778697418994e-15,1.0
TEST_00317,0.0,0.0
TEST_00318,1.2034805414808547e-17,1.0
TEST_00319,1.9084217004488004e-26,1.0
TEST_00320,8.106659798961813e-22,1.0
TEST_00321,3.255693831767961e-21,1.0
TEST_00322,1.3951316620383234e-15,1.0
TEST_00323,1.7948456628146805e-15,1.0
TEST_00324,1.4445463780558397e-20,1.0
TEST_00325,4.101422866111478e-17,1.0
TEST_00326,1.6658158021208955e-30,1.0
TEST_00327,2.4430276730639036e-15,1.0
TEST_00328,1.5789698515029557e-21,1.0
TEST_00329,4.543498617807651e-25,1.0
TEST_00330,1.1129452826385135e-15,1.0
TEST_00331,8.321299258723843e-26,1.0
TEST_00332,2.0446303320644941e-16,1.0
TEST_00333,6.8900289822980345e-25,1.0
TEST_00334,1.2320775927679154e-23,1.0
TEST_00335,7.967564596370741e-14,1.0
TEST_00336,3.5945139980840353e-20,1.0
TEST_00337,1.0807896000943257e-19,1.0
TEST_00338,1.8210074870034318e-19,1.0
TEST_00339,2.8410745435934748e-14,1.0
TEST_00340,0.0,0.0
TEST_00341,1.2238457695209409e-18,1.0
TEST_00342,1.4841538698922814e-21,1.0
TEST_00343,9.125590409468723e-22,1.0
TEST_00344,7.643908690813885e-22,1.0
TEST_00345,4.6226409506097164e-18,1.0
TEST_00346,7.011597113462317e-14,1.0
TEST_00347,1.820516002132847e-17,1.0
TEST_00348,1.6434479340166106e-21,1.0
TEST_00349,1.207659654390868e-19,1.0
TEST_00350,2.708291621825358e-24,1.0
TEST_00351,3.8058757691247e-26,1.0
TEST_00352,1.2172277753208911e-21,1.0
TEST_00353,1.2098211161055604e-21,1.0
TEST_00354,1.5504253855687264e-16,1.0
TEST_00355,1.994204243870404e-18,1.0
TEST_00356,1.159765767677077e-19,1.0
TEST_00357,5.310095231910181e-21,1.0
TEST_00358,1.5212250579495736e-18,1.0
TEST_00359,4.137422179960092e-18,1.0
TEST_00360,1.9143230837320724e-12,1.0
TEST_00361,4.317331703242722e-25,1.0
TEST_00362,5.7494608519790895e-25,1.0
TEST_00363,1.0787090308274274e-20,1.0
TEST_00364,3.174565104355625e-22,1.0
TEST_00365,4.9112852933443177e-26,1.0
TEST_00366,0.0,0.0
TEST_00367,0.0,0.0
TEST_00368,2.3402776754618976e-22,1.0
TEST_00369,5.254904594373778e-20,1.0
TEST_00370,0.0,0.0
TEST_00371,1.6469389593190112e-19,1.0
TEST_00372,1.264949715096022e-20,1.0
TEST_00373,1.2443523966430515e-25,1.0
TEST_00374,2.507064793244427e-16,1.0
TEST_00375,5.711998260702117e-30,1.0
TEST_00376,0.0,0.0
TEST_00377,4.415586724503608e-17,1.0
TEST_00378,4.5737228126723105e-17,1.0
TEST_00379,5.597736157520402e-23,1.0
TEST_00380,3.977254850535592e-16,1.0
TEST_00381,4.19879525909877e-18,1.0
TEST_00382,1.212842124976199e-15,1.0
TEST_00383,5.941291311852038e-20,1.0
TEST_00384,4.653145747683167e-24,1.0
TEST_00385,6.449720197764261e-22,1.0
TEST_00386,9.394663440657119e-17,1.0
TEST_00387,2.185929135600225e-20,1.0
TEST_00388,1.4222001907429477e-19,1.0
TEST_00389,4.449569434057364e-19,1.0
TEST_00390,4.686576842081237e-19,1.0
TEST_00391,4.195350982425676e-19,1.0
TEST_00392,0.0,0.0
TEST_00393,3.545635378700394e-21,1.0
TEST_00394,6.876582801953915e-18,1.0
TEST_00395,5.1388322924528e-22,1.0
TEST_00396,0.0,0.0
TEST_00397,9.835620002668892e-23,1.0
TEST_00398,3.22421703845416e-27,1.0
TEST_00399,1.6587749265226702e-25,1.0
TEST_00400,1.4043754704012921e-21,1.0
TEST_00401,4.500534229415643e-15,1.0
TEST_00402,0.0,0.0
TEST_00403,1.256203394873396e-19,1.0
TEST_00404,0.0,0.0
TEST_00405,3.6052846495534085e-25,1.0
TEST_00406,1.335045897617182e-14,1.0
TEST_00407,9.833177956104387e-16,1.0
TEST_00408,3.8543907912166923e-22,1.0
TEST_00409,1.769980308135411e-23,1.0
TEST_00410,0.0,0.0
TEST_00411,0.0,0.0
TEST_00412,1.4094608389976856e-17,1.0
TEST_00413,6.291281311556797e-15,1.0
TEST_00414,1.2899471697529241e-21,1.0
TEST_00415,3.055084640596344e-20,1.0
TEST_00416,0.0,0.0
TEST_00417,0.0,0.0
TEST_00418,4.2123219782197273e-17,1.0
TEST_00419,5.6209457931555706e-18,1.0
TEST_00420,3.5992852913717213e-22,1.0
TEST_00421,5.597280569420735e-18,1.0
TEST_00422,1.0063102932054199e-15,1.0
TEST_00423,0.0,0.0
TEST_00424,2.4628873017881636e-27,1.0
TEST_00425,3.1742125150854276e-23,1.0
TEST_00426,6.665696413505971e-19,1.0
TEST_00427,7.941107556125959e-21,1.0
TEST_00428,7.04749610089054e-20,1.0
TEST_00429,4.318485646757233e-17,1.0
TEST_00430,1.9450639155269435e-22,1.0
TEST_00431,7.093192039469807e-18,1.0
TEST_00432,6.397956285067666e-25,1.0
TEST_00433,9.497054483177378e-20,1.0
TEST_00434,2.9066552868563434e-19,1.0
TEST_00435,1.1058236518387784e-21,1.0
TEST_00436,3.1439358042803446e-26,1.0
TEST_00437,8.530189626426367e-23,1.0
TEST_00438,5.125267620928246e-21,1.0
TEST_00439,2.5063435558567784e-19,1.0
TEST_00440,3.677566162758627e-20,1.0
TEST_00441,0.0,0.0
TEST_00442,7.248118005117314e-18,1.0
TEST_00443,1.2956758350481502e-24,1.0
TEST_00444,0.0,0.0
TEST_00445,2.386493873891853e-19,1.0
TEST_00446,6.754903189678869e-19,1.0
TEST_00447,2.356848827092022e-17,1.0
TEST_00448,0.0,0.0
TEST_00449,2.8896425598003887e-18,1.0
TEST_00450,1.0251943335903604e-17,1.0
TEST_00451,4.058728765975166e-18,1.0
TEST_00452,0.0,0.0
TEST_00453,1.06171429818097e-19,1.0
TEST_00454,0.0,0.0
TEST_00455,2.791050527773978e-20,1.0
TEST_00456,3.0980014203384947e-21,1.0
TEST_00457,2.3135971930056824e-20,1.0
TEST_00458,1.6206353703695035e-23,1.0
TEST_00459,2.391987217498322e-21,1.0
TEST_00460,3.960781647898272e-16,1.0
TEST_00461,1.4294153205784412e-15,1.0
TEST_00462,0.0,0.0
TEST_00463,1.0840231912804633e-18,1.0
TEST_00464,0.0,0.0
TEST_00465,4.971264905166622e-18,1.0
TEST_00466,1.849442361781632e-21,1.0
TEST_00467,5.072981970617295e-21,1.0
TEST_00468,0.0,0.0
TEST_00469,1.3530506703433849e-20,1.0
TEST_00470,3.4719158146634465e-20,1.0
TEST_00471,0.0,0.0
TEST_00472,1.9694401592603797e-23,1.0
TEST_00473,1.1151033902392194e-16,1.0
TEST_00474,8.445400155273473e-21,1.0
TEST_00475,1.2734292501840539e-17,1.0
TEST_00476,4.2094473816675355e-24,1.0
TEST_00477,3.187031774396372e-19,1.0
TEST_00478,1.7810802910466852e-24,1.0
TEST_00479,1.1856794783431594e-20,1.0
TEST_00480,1.6315118147126985e-20,1.0
TEST_00481,3.814780482200186e-21,1.0
TEST_00482,1.1623108922000861e-14,1.0
TEST_00483,1.026189519230136e-22,1.0
TEST_00484,1.768724914890842e-23,1.0
TEST_00485,1.3921752568746188e-23,1.0
TEST_00486,0.0,0.0
TEST_00487,7.0791551463663e-20,1.0
TEST_00488,1.3661746972419564e-13,1.0
TEST_00489,2.1125274674124393e-18,1.0
TEST_00490,2.0194767622534916e-16,1.0
TEST_00491,4.636208367016811e-16,1.0
TEST_00492,2.731235402438398e-28,1.0
TEST_00493,3.44573949030875e-19,1.0
TEST_00494,2.4010973650354435e-17,1.0
TEST_00495,4.425382967506975e-25,1.0
TEST_00496,1.494756059484256e-21,1.0
TEST_00497,0.0,0.0
TEST_00498,0.0,0.0
TEST_00499,1.34541844285242e-19,1.0
TEST_00500,2.4780832962563253e-16,1.0
TEST_00501,1.0244950847313448e-16,1.0
TEST_00502,0.0,0.0
TEST_00503,1.7943197404635658e-21,1.0
TEST_00504,2.8608784150357073e-22,1.0
TEST_00505,0.0,0.0
TEST_00506,4.1928891895251416e-18,1.0
TEST_00507,2.5975132212835075e-17,1.0
TEST_00508,1.8506369672981106e-19,1.0
TEST_00509,2.3004569362212017e-21,1.0
TEST_00510,2.380183632930298e-27,1.0
TEST_00511,1.4078191953513802e-21,1.0
TEST_00512,1.3205532159244913e-20,1.0
TEST_00513,2.8615388916937464e-18,1.0
TEST_00514,1.0739079409451293e-30,1.0
TEST_00515,1.4863789751377585e-23,1.0
TEST_00516,3.7997631958938704e-21,1.0
TEST_00517,0.0,0.0
TEST_00518,3.249009832755556e-19,1.0
TEST_00519,3.53056484587332e-18,1.0
TEST_00520,0.0,0.0
TEST_00521,2.8068403070683645e-21,1.0
TEST_00522,9.588090394791527e-21,1.0
TEST_00523,2.796229777007811e-20,1.0
TEST_00524,2.8694311737884753e-14,1.0
TEST_00525,2.084934541975018e-15,1.0
TEST_00526,6.518665038260345e-27,1.0
TEST_00527,6.738241845554394e-22,1.0
TEST_00528,1.000498939120651e-17,1.0
TEST_00529,2.819169632209852e-29,1.0
TEST_00530,4.965584010699342e-16,1.0
TEST_00531,6.492634202735509e-19,1.0
TEST_00532,9.63196072940107e-23,1.0
TEST_00533,4.6442601430994024e-17,1.0
TEST_00534,2.0150270070139892e-14,1.0
TEST_00535,1.3203897610697402e-12,1.0
TEST_00536,3.0499392540688374e-19,1.0
TEST_00537,4.880551154147771e-23,1.0
TEST_00538,1.681007999851335e-23,1.0
TEST_00539,3.784339920424873e-15,1.0
TEST_00540,1.023128376041862e-23,1.0
TEST_00541,5.096693196580181e-18,1.0
TEST_00542,1.4784731598715961e-12,1.0
TEST_00543,1.6957475268445268e-19,1.0
TEST_00544,2.72025133936531e-16,1.0
TEST_00545,1.8920523819167348e-20,1.0
TEST_00546,2.9663866730409967e-16,1.0
TEST_00547,2.2674822292850206e-19,1.0
TEST_00548,2.7694331540315083e-22,1.0
TEST_00549,1.566517952775374e-17,1.0
TEST_00550,1.5968156725036731e-27,1.0
TEST_00551,1.708979285973552e-15,1.0
TEST_00552,1.0029688693193328e-29,1.0
TEST_00553,5.573824208790569e-17,1.0
TEST_00554,2.5851178940080177e-24,1.0
TEST_00555,2.4700750464175667e-20,1.0
TEST_00556,6.438198092858248e-20,1.0
TEST_00557,3.728628530604884e-14,1.0
TEST_00558,3.2100376061428276e-15,1.0
TEST_00559,1.827337217039891e-22,1.0
TEST_00560,3.2509811075528466e-19,1.0
TEST_00561,6.246233060256845e-21,1.0
TEST_00562,3.196350559566823e-16,1.0
TEST_00563,1.4939195932846509e-19,1.0
TEST_00564,7.462683738166334e-21,1.0
TEST_00565,5.220293276564933e-15,1.0
TEST_00566,2.760034665206705e-23,1.0
TEST_00567,1.2538850979650767e-13,1.0
TEST_00568,2.87756472296119e-14,1.0
TEST_00569,3.959940986180439e-21,1.0
TEST_00570,4.512068700574879e-15,1.0
TEST_00571,1.6763880108425768e-19,1.0
TEST_00572,3.844214611757086e-22,1.0
TEST_00573,1.7682888754964692e-20,1.0
TEST_00574,9.483027241203668e-16,1.0
TEST_00575,1.3919114884124173e-13,1.0
TEST_00576,8.273480641904363e-13,1.0
TEST_00577,0.0,0.0
TEST_00578,5.871796714758577e-15,1.0
TEST_00579,4.233192104381019e-20,1.0
TEST_00580,5.55574808289604e-21,1.0
TEST_00581,2.9061963914478647e-22,1.0
TEST_00582,1.9431656006446196e-22,1.0
TEST_00583,8.352623222340356e-19,1.0
TEST_00584,1.6089295707324991e-18,1.0
TEST_00585,5.190345035781477e-24,1.0
TEST_00586,2.310049787751277e-22,1.0
TEST_00587,8.666976315099714e-21,1.0
TEST_00588,1.3024966467122186e-21,1.0
TEST_00589,1.2495291336250326e-15,1.0
TEST_00590,6.3007691224711125e-22,1.0
TEST_00591,3.375217224908564e-18,1.0
TEST_00592,1.686434160741064e-17,1.0
TEST_00593,1.9581604706794524e-21,1.0
TEST_00594,6.809529688437755e-31,1.0
TEST_00595,3.6050602277766596e-20,1.0
TEST_00596,7.447733127141034e-19,1.0
TEST_00597,1.3906431145459453e-28,1.0
TEST_00598,3.6368711384430056e-20,1.0
TEST_00599,7.277125679393953e-14,1.0
TEST_00600,2.1384987879770117e-17,1.0
TEST_00601,1.858477471112498e-17,1.0
TEST_00602,0.0,0.0
TEST_00603,3.1054721795889498e-18,1.0
TEST_00604,4.1582660072507057e-23,1.0
TEST_00605,9.679877876278185e-24,1.0
TEST_00606,8.634895197485224e-22,1.0
TEST_00607,1.6660186960190494e-23,1.0
TEST_00608,1.7621536025761552e-21,1.0
TEST_00609,2.71676130771362e-20,1.0
TEST_00610,5.649681065358685e-20,1.0
TEST_00611,2.9329382965074266e-21,1.0
TEST_00612,2.39396021289591e-20,1.0
TEST_00613,5.2618626858213835e-21,1.0
TEST_00614,0.0,0.0
TEST_00615,1.1249657177754124e-14,1.0
TEST_00616,6.003516826461346e-18,1.0
TEST_00617,8.969282700452622e-15,1.0
TEST_00618,9.231517631972561e-27,1.0
TEST_00619,2.4148841083819567e-18,1.0
TEST_00620,3.4651472568301956e-24,1.0
TEST_00621,5.1552998900670334e-24,1.0
TEST_00622,0.0,0.0
TEST_00623,4.175180510344965e-22,1.0
TEST_00624,2.5741411529427e-20,1.0
TEST_00625,2.5449318312853492e-17,1.0
TEST_00626,0.0,0.0
TEST_00627,2.5816857332494614e-11,1.0
TEST_00628,2.9159524867487097e-18,1.0
TEST_00629,9.127285579455479e-17,1.0
TEST_00630,6.955687630655093e-23,1.0
TEST_00631,1.270339250831413e-16,1.0
TEST_00632,4.3480216588330046e-26,1.0
TEST_00633,2.5627520701801464e-23,1.0
TEST_00634,1.157760035637395e-17,1.0
TEST_00635,1.538050311062821e-22,1.0
TEST_00636,0.0,0.0
TEST_00637,5.306554268809472e-20,1.0
TEST_00638,1.903221218501083e-21,1.0
TEST_00639,0.0,0.0
TEST_00640,8.594258188903581e-19,1.0
TEST_00641,4.9513546678224704e-18,1.0
TEST_00642,0.0,0.0
TEST_00643,3.019370439544533e-24,1.0
TEST_00644,3.1084080633027507e-20,1.0
